geneNID,variantNID
1985,113405
2483,113407
2895,113439
16551,76451
1533,113729
4559,113819
22255,113819
3897,113865
3897,113873
5001,113941
5005,113943
8993,113953
13379,114031
10857,114137
263,114187
1739,114211
4057,114269
927,114323
3683,114363
4881,114427
5121,114457
5121,114459
5923,76463
13585,76469
2491,114653
2491,114657
7019,76503
11809,76507
9425,76511
9425,76513
18025,76519
6929,76533
1697,76535
9425,76537
16585,76543
637,76553
5959,76553
1767,76557
16129,174197
9425,76573
2845,76579
16547,14947
5875,76585
7901,76589
5923,76591
787,76605
16201,76605
6181,76615
7901,76627
14801,76641
14801,76657
14801,76665
9425,76671
14801,76675
16585,76681
1603,174219
9425,76687
9425,76689
9425,76693
5731,76701
22053,76703
17409,76717
8471,76723
20947,76725
8667,174247
13071,76751
553,76759
5389,76765
22757,76777
14825,76785
1945,114851
323,114883
323,114885
2195,114891
5727,76805
14631,76809
5727,76817
5727,76821
5063,76825
16585,14961
16585,14963
16585,14965
6699,76837
8469,76855
4025,76865
4021,76867
8613,76871
11569,76875
13183,76885
21005,76917
11085,76919
6657,76921
6281,76923
3141,76925
21821,76929
14759,76931
1533,174357
5107,76939
6837,76947
13901,76953
5343,76961
6553,174367
22997,76987
3745,76997
15513,77003
919,77007
3139,174407
13143,77023
5215,174415
3105,77049
22251,77077
14953,174437
16173,77109
423,174447
14801,15021
4561,174465
8391,77153
21053,77165
15495,77181
10185,77193
4551,77219
4135,1707
4073,77255
9879,77265
3131,77267
3371,174533
323,77297
243,174551
18629,77301
3671,77305
14073,77307
3791,77319
9083,77319
