geneId,geneName,numEntries
580,BARD1,19
83636,C19orf12,19
65250,CPLANE1,19
54714,CNGB3,19
1291,COL6A1,19
975,CD81,19
1071,CETP,19
1778,DYNC1H1,19
79659,DYNC2H1,19
1629,DBT,19
4153,MBL2,19
4160,MC4R,19
4053,LTBP2,19
4488,MSX2,19
4534,MTM1,19
23395,LARS2,19
3858,KRT10,19
3973,LHCGR,19
3684,ITGAM,19
3567,IL5,19
4254,KITLG,19
3782,KCNN3,19
3423,IDS,19
4669,NAGLU,19
113278,SLC52A3,19
6571,SLC18A2,19
8036,SHOC2,19
26040,SETBP1,19
6337,SCNN1A,19
50484,RRM2B,19
6247,RS1,19
6229,RPS24,19
5837,PYGM,19
5896,RAG1,19
5897,RAG2,19
5961,PRPH2,18
5970,RELA,18
6340,SCNN1G,18
6442,SGCA,18
4758,NEU1,18
4810,NHS,18
4838,NODAL,18
5048,PAFAH1B1,18
5015,OTX2,18
4948,OCA2,18
5078,PAX4,18
5194,PEX13,18
3762,KCNJ5,18
3798,KIF5A,18
8242,KDM5C,18
3570,IL6R,18
3614,IMPDH1,18
3981,LIG4,18
3988,LIPA,18
1316,KLF6,18
9499,MYOT,18
4038,LRP4,18
1621,DBH,18
80169,CTC1,18
1509,CTSD,18
1716,DGUOK,18
1991,ELANE,18
30008,EFEMP2,18
400916,CHCHD10,18
1001,CDH3,18
1186,CLCN7,18
1414,CRYBB1,18
778,CACNA1F,18
779,CACNA1S,18
581,BAX,18
6311,ATXN2,18
27032,ATP2C1,18
203859,ANO5,18
7840,ALMS1,18
28976,ACAD9,18
10347,ABCA7,18
54806,AHI1,18
2213,FCGR2B,18
2581,GALC,18
2562,GABRB3,18
79152,FA2H,18
2178,FANCE,18
55120,FANCL,18
4935,GPR143,18
2913,GRM3,18
2784,GNB3,18
2731,GLDC,18
2628,GATM,18
6653,SORL1,18
7056,THBD,18
7097,TLR2,18
7274,TTPA,18
79809,TTC21B,18
7424,VEGFC,18
91752,ZNF804A,18
117581,TWIST2,17
7306,TYRP1,17
57178,ZMIZ1,17
6935,ZEB1,17
283989,TSEN54,17
10758,TRAF3IP2,17
23495,TNFRSF13B,17
1678,TIMM8A,17
7076,TIMP1,17
6708,SPTA1,17
6687,SPG7,17
6910,TBX5,17
6904,TBCD,17
2657,GDF1,17
8820,HESX1,17
55876,GSDMB,17
3030,HADHA,17
22909,FAN1,17
2194,FASN,17
2201,FBN2,17
7957,EPM2A,17
2071,ERCC3,17
158326,FREM1,17
2488,FSHB,17
2492,FSHR,17
2245,FGD1,17
2271,FH,17
10555,AGPAT2,17
178,AGL,17
